6 20 17 8 17 0 21 13 2 20 7 0 12 16 20 17 12 9 7 3 6 22 20 10 7 
2 8 8 12 4 20 18 24 12 4 18 12 0 6 15 22 15 17 9 7 12 1 19 21 10 
24 4 9 19 17 19 21 0 2 11 4 22 4 5 11 8 23 0 10 7 17 7 24 9 19 
8 23 20 2 22 8 4 3 17 23 20 11 22 21 15 8 2 14 14 8 0 0 8 3 10 
15 20 20 17 7 14 0 5 11 3 2 19 9 6 14 9 3 0 6 24 18 16 4 7 6 
12 10 6 20 13 18 13 10 15 5 17 6 5 0 18 10 4 14 21 12 3 6 16 6 12 
17 24 6 21 6 12 8 18 20 6 8 15 21 19 6 3 13 12 8 15 5 21 20 20 17 
7 0 23 23 6 13 18 5 21 14 14 8 0 7 5 8 18 20 4 14 1 7 2 16 17 
18 23 15 15 20 8 22 21 8 23 2 23 16 10 19 7 24 4 7 8 11 15 1 7 21 
15 10 3 20 1 23 15 0 13 5 22 23 4 18 7 4 23 7 20 8 4 5 9 8 12 
19 20 5 23 4 1 15 14 7 10 18 5 2 20 18 9 17 17 14 13 1 18 11 10 16 
19 14 23 5 23 10 24 20 17 22 24 19 15 15 3 0 10 8 5 5 3 14 0 22 5 
13 0 1 24 11 19 20 0 17 0 0 2 1 20 22 1 21 16 16 12 21 18 24 4 23 
5 9 15 7 7 20 20 7 21 21 18 17 16 21 9 18 21 12 19 19 11 20 15 4 13 
4 0 7 4 4 5 11 13 22 18 22 18 15 7 16 11 0 9 4 23 18 22 20 7 18 
16 18 16 6 24 4 11 24 11 17 5 19 3 19 16 23 18 11 13 0 5 1 3 16 5 
1 11 4 23 19 24 14 14 15 23 14 22 9 15 8 3 21 4 8 17 23 6 10 9 21 
11 16 24 16 7 6 17 19 10 18 15 11 9 6 2 7 22 1 18 13 11 21 9 16 4 
1 14 12 11 0 8 24 19 9 15 1 15 10 22 2 5 12 14 14 19 18 22 18 19 15 
6 5 12 15 21 18 18 12 6 7 15 16 6 9 1 24 12 16 11 10 19 16 22 10 5 
18 3 4 14 22 20 20 2 9 13 1 4 6 15 10 13 7 4 22 18 7 21 6 23 9 
16 19 0 15 6 5 11 9 10 0 6 7 22 11 18 12 14 22 19 6 10 9 16 14 8 
9 21 4 15 21 13 8 18 15 1 24 23 14 11 10 16 19 17 13 5 10 1 21 7 22 
5 19 8 21 8 17 7 6 23 0 3 12 10 23 4 11 24 2 2 10 12 18 5 6 9 
12 18 12 11 3 9 16 22 17 14 6 11 21 14 10 21 19 24 7 17 3 20 17 6 23 
