48 24 11 15 2 32 23 16 44 10 12 10 40 30 25 41 35 18 39 38 16 22 14 29 13 29 18 31 40 1 3 38 27 15 3 29 49 26 45 45 38 10 6 28 40 33 21 27 1 11 
15 17 35 31 49 0 13 17 31 3 18 35 41 47 2 45 27 3 23 24 48 14 36 6 44 28 40 16 6 41 29 23 11 16 7 10 16 20 29 47 23 0 34 14 47 38 11 26 41 37 
1 42 1 39 48 47 18 40 13 26 34 44 1 45 10 8 7 26 28 38 26 3 38 10 20 36 49 31 12 42 20 15 34 23 5 35 21 23 25 34 1 9 29 2 6 41 13 15 18 43 
4 46 47 42 6 17 28 7 0 41 2 21 8 36 44 13 21 15 38 47 2 39 8 31 44 15 24 9 30 42 2 34 40 49 27 47 16 7 6 19 0 8 40 9 47 34 24 20 0 13 
19 2 4 28 35 48 45 9 7 25 4 12 12 44 11 41 43 30 0 2 49 1 12 41 12 9 25 36 32 27 49 1 31 4 29 18 4 24 30 14 2 36 26 14 32 39 7 26 21 7 
30 20 8 42 11 22 4 39 9 36 18 10 39 0 14 19 20 21 45 0 37 49 36 13 13 19 4 22 47 26 30 27 48 40 21 12 13 27 1 24 15 19 34 5 21 1 26 42 22 21 
44 9 21 31 24 36 2 28 9 1 6 41 30 5 33 1 17 48 31 20 22 46 39 7 1 13 10 27 5 32 1 1 43 24 32 19 10 36 47 21 37 4 14 17 11 48 21 28 46 2 
48 21 0 39 28 4 2 38 31 9 22 34 11 17 8 45 36 21 32 33 42 21 39 7 39 0 7 12 30 3 14 28 24 14 20 4 18 22 44 2 34 18 38 47 35 47 42 21 20 26 
7 12 48 46 21 39 49 28 1 31 34 17 10 8 33 32 15 4 6 9 8 40 28 46 37 13 45 32 37 17 8 44 30 8 40 3 47 41 34 0 23 18 19 35 28 3 17 43 7 23 
5 17 14 35 15 3 48 13 35 35 30 46 31 10 4 22 16 4 15 0 4 38 18 24 23 46 29 42 42 38 16 47 5 32 32 20 37 32 33 25 20 16 21 1 26 25 25 44 29 41 
44 36 31 14 12 7 11 41 49 5 29 17 2 36 1 36 8 39 18 44 14 40 10 37 44 38 12 19 33 44 10 27 30 44 42 42 1 5 33 0 10 14 20 14 2 21 0 10 12 20 
4 26 13 14 13 7 3 28 26 38 22 39 17 2 33 11 46 34 16 31 36 28 47 6 44 49 28 44 9 40 17 16 19 30 30 34 37 35 14 15 25 36 4 43 40 39 4 38 25 23 
19 12 3 16 20 48 15 0 44 27 43 13 43 14 43 25 0 32 13 15 48 38 3 4 31 46 44 38 34 21 11 4 35 16 22 6 14 40 6 11 17 1 24 10 15 20 35 16 2 48 
31 2 39 36 7 20 32 3 10 17 24 23 23 10 40 47 18 6 37 24 17 4 28 44 16 43 14 4 9 16 4 42 19 43 29 28 16 13 31 26 30 7 0 5 17 42 3 37 48 42 
14 16 47 42 10 15 35 26 21 47 42 28 39 13 21 20 43 39 34 24 18 16 34 20 22 3 12 27 41 10 19 5 28 18 47 40 34 34 16 7 31 11 35 21 26 9 43 20 0 27 
46 18 44 30 40 18 34 2 45 25 15 14 32 45 35 29 36 21 13 4 28 47 17 14 18 44 25 13 14 25 41 12 46 37 43 36 5 27 41 2 4 8 18 38 3 3 17 41 24 32 
48 3 29 15 19 49 11 46 15 25 23 6 40 19 45 33 8 2 12 49 4 18 9 24 6 12 28 25 6 2 7 4 7 39 21 28 40 33 26 5 10 0 13 0 19 8 35 29 10 47 
30 16 15 39 41 21 2 21 48 10 25 8 16 35 47 37 13 39 22 42 47 33 42 12 35 13 21 21 43 33 18 23 2 36 13 45 9 17 16 8 27 41 16 45 26 15 32 42 4 5 
34 3 40 26 16 25 41 39 46 34 24 15 10 26 1 25 21 10 42 39 20 21 31 36 16 7 1 0 1 8 5 35 11 45 13 27 21 5 18 17 41 43 34 1 21 37 26 45 0 20 
34 20 43 17 7 9 27 8 10 28 16 17 14 30 13 29 9 36 34 28 5 28 23 42 31 44 29 10 41 29 30 26 2 24 45 11 35 22 19 47 1 38 15 17 20 30 46 29 16 31 
7 23 11 32 15 42 27 47 2 20 28 35 48 30 11 44 41 46 16 13 44 17 3 11 34 23 41 31 4 9 14 12 32 27 46 0 19 25 47 24 46 25 9 44 8 22 38 1 18 5 
16 14 24 19 25 11 44 18 44 49 27 10 13 10 37 9 10 6 35 9 32 31 36 43 27 46 15 16 48 36 23 16 0 47 36 28 8 32 46 2 31 24 14 46 36 1 8 48 10 43 
